split,model,video_id,length_frames,mode,time_seconds,peak_mem_gb,f1,status
test,stgcn_transformer,1179868_A,24068,streaming,0.5935245999717154,2.3511581420898438,0.3099927384816017,ok
test,stgcn_transformer,1179868_B,24068,chunked,0.25845941301668063,0.11961078643798828,0.6843594501017723,ok
test,stgcn_transformer,1179868_B,24068,streaming,0.5937646849779412,2.3511581420898438,0.39705878967220315,ok
test,stgcn_transformer,1179224_A,58144,chunked,0.6217135870247148,0.14475727081298828,0.687426888273679,ok
test,stgcn_transformer,1179224_A,58144,streaming,nan,nan,nan,error: The size of tensor a (58144) must match the size of tensor b (50000) at non-singleton dimension 1
test,stgcn_transformer,1179224_B,58144,chunked,0.6210235439939424,0.14513778686523438,0.6277412262879384,ok
test,stgcn_transformer,1179224_B,58144,streaming,nan,nan,nan,error: The size of tensor a (58144) must match the size of tensor b (50000) at non-singleton dimension 1
test,stgcn_transformer,1180022_A,1510,chunked,0.0175515339942649,0.1030435562133789,0.6493114562354371,ok
test,stgcn_transformer,1180022_A,1510,streaming,0.007366073958110064,0.2368626594543457,0.48946796593090486,ok
test,stgcn_transformer,1180022_B,1510,chunked,0.01793840399477631,0.10241079330444336,0.3333333333333333,ok
test,stgcn_transformer,1180022_B,1510,streaming,0.007263261009939015,0.2368626594543457,0.3333333333333333,ok
test,stgcn_transformer,1187154_A,8088,chunked,0.08690345496870577,0.10827922821044922,0.3333333333333333,ok
test,stgcn_transformer,1187154_A,8088,streaming,0.08692255901405588,0.8531641960144043,0.3333333333333333,ok
test,stgcn_transformer,1187154_B,8088,chunked,0.08652416296536103,0.1083526611328125,0.6562814517384606,ok
test,stgcn_transformer,1187154_B,8088,streaming,0.08701547497184947,0.8531641960144043,0.36188444939265524,ok
test,stgcn_transformer,1583214_A,36575,chunked,0.3867094480083324,0.12858963012695312,0.6745739393346071,ok
test,stgcn_transformer,1583214_A,36575,streaming,1.3061639390070923,3.522991180419922,0.31632638399977014,ok
test,stgcn_transformer,1583214_B,36575,chunked,0.38752199697773904,0.1289081573486328,0.6238093576451499,ok
test,stgcn_transformer,1583214_B,36575,streaming,1.3065147600136697,3.522991180419922,0.3390236754594143,ok
test,stgcn_transformer,1984213_B,3248,chunked,0.03575637994799763,0.10418939590454102,0.5639103201201169,ok
test,stgcn_transformer,1984213_B,3248,streaming,0.021395855001173913,0.4020957946777344,0.4080704455974034,ok
test,stgcn_transformer,1205821_A,45180,chunked,0.48213102197041735,0.13489341735839844,0.5994492026321173,ok
test,stgcn_transformer,1205821_A,45180,streaming,1.9202050230232999,4.329457759857178,0.28536705784056815,ok
test,stgcn_transformer,1205821_B,45180,chunked,0.47924417100148275,0.13574457168579102,0.7017414293912414,ok
test,stgcn_transformer,1205821_B,45180,streaming,1.9195861160405912,4.329840660095215,0.29925101856595676,ok
test,stgcn_transformer,1418858_A,28432,chunked,0.302081843954511,0.12297868728637695,0.67586895548113,ok
test,stgcn_transformer,1418858_A,28432,streaming,0.7940313660074025,2.7629799842834473,0.2659506997589954,ok
test,stgcn_transformer,1418858_B,28432,chunked,0.3033020130242221,0.12362194061279297,0.6882175552735913,ok
test,stgcn_transformer,1418858_B,28432,streaming,0.793958643975202,2.763810157775879,0.26921087579506536,ok
